,type,responses,trial_type,trial_index,time_elapsed,internal_node_id,mode,subject_cond,exp,uniqueid,success,recalled_list,matching_list,missing_list,shown_list,num_correct,instructions,times,correct_sizes,used_time,list_type,reminder,display_time,id,total_points
0,survey-text,"{""Q0"":""63153455849b153d56dd81db""}",survey-text,0.0,19746.0,0.0-0.0,pilot,59,opt-rems-full,﻿debugqdmNN:debuguPdp3,,,,,,,,,,,,,,,
1,text-recall,,text-recall,36.0,1245272.0,0.0-27.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['GINGER', 'GOSPEL', 'FOLK', 'TRACTOR', 'STREETCAR', 'BOAT', 'BEETLE', 'WASP', 'ALTERNATIVE', 'MOSQUITO', 'SUGAR']","['GINGER', 'GOSPEL', 'FOLK', 'TRACTOR', 'STREETCAR', 'BOAT', 'BEETLE', 'WASP', 'ALTERNATIVE', 'MOSQUITO', 'SUGAR']","['INSTRUMENTAL', 'TAXI', 'SAGE', 'VANILLA', 'HORNET']","['INSTRUMENTAL', 'TAXI', 'SAGE', 'VANILLA', 'GINGER', 'HORNET', 'GOSPEL', 'SUGAR', 'FOLK', 'MOSQUITO', 'TRACTOR', 'ALTERNATIVE', 'STREETCAR', 'WASP', 'BOAT', 'BEETLE']",11.0,False,"[8419, 6008, 4105, 6847, 6560, 5928, 8919, 7338, 11903, 15311, 6728]",True,90000.0,categorized_16_6,,,,
2,reminder-none,,reminder,37.0,1246290.0,0.0-28.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['INSTRUMENTAL', 'TAXI', 'SAGE', 'VANILLA', 'GINGER', 'HORNET', 'GOSPEL', 'SUGAR', 'FOLK', 'MOSQUITO', 'TRACTOR', 'ALTERNATIVE', 'STREETCAR', 'WASP', 'BOAT', 'BEETLE']",0.0,False,[],,,categorized_16_6,,0.0,,
3,text-recall,,text-recall,40.0,1530235.0,0.0-31.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['SLOOP', 'RUGBY', 'DESTROYER', 'SHEEP', 'VOLLEYBALL', 'RAGGAE', 'REGGAE', 'FOX', 'TANKER', 'BLUEGRASS', 'WRESTLING', 'PIG']","['SLOOP', 'RUGBY', 'DESTROYER', 'SHEEP', 'VOLLEYBALL', 'REGGAE', 'FOX', 'TANKER', 'BLUEGRASS', 'WRESTLING', 'PIG']","['SKIING', 'BLUES', 'TECHNO', 'SCHOONER', 'LIZARD']","['SKIING', 'BLUES', 'TECHNO', 'SLOOP', 'RUGBY', 'DESTROYER', 'SHEEP', 'VOLLEYBALL', 'REGGAE', 'FOX', 'TANKER', 'BLUEGRASS', 'WRESTLING', 'PIG', 'SCHOONER', 'LIZARD']",11.0,False,"[9972, 5808, 7799, 5104, 8072, 8961, 7072, 5407, 4945, 6943, 5673, 3935]",True,83798.0,categorized_16_10,,,,
4,reminder-random,,reminder,41.0,1557016.0,0.0-32.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['SKIING', 'LIZARD']",['LIZARD'],"['BLUES', 'TECHNO', 'SCHOONER']","['SKIING', 'BLUES', 'TECHNO', 'SLOOP', 'RUGBY', 'DESTROYER', 'SHEEP', 'VOLLEYBALL', 'REGGAE', 'FOX', 'TANKER', 'BLUEGRASS', 'WRESTLING', 'PIG', 'SCHOONER', 'LIZARD']",1.0,False,"[4697, 5952]",,,categorized_16_10,SKIING,3000.0,,
5,text-recall,,text-recall,44.0,1761124.0,0.0-35.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['SHARK', 'SKIRT', 'TIE', 'SWING', 'COD', 'POPLAR']","['SHARK', 'SKIRT', 'TIE', 'SWING', 'COD', 'POPLAR']","['CARP', 'WILLOW', 'HERRING', 'BEECH', 'JEANS', 'SALSA', 'BALLROOM', 'WALTZ', 'HAT', 'BIRCH']","['SHARK', 'SKIRT', 'TIE', 'SWING', 'COD', 'POPLAR', 'CARP', 'WILLOW', 'HERRING', 'BEECH', 'JEANS', 'SALSA', 'BALLROOM', 'WALTZ', 'HAT', 'BIRCH']",6.0,False,"[10293, 7289, 4519, 6449, 4751, 6009]",True,44509.0,categorized_16_1,,,,
6,reminder-best,,reminder,45.0,1813334.0,0.0-36.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['BALLROOM', 'WILLOW', 'BEECH', 'BEECH', 'JEANS', 'SALSA']","['WILLOW', 'BEECH', 'JEANS', 'SALSA']","['CARP', 'HERRING', 'WALTZ', 'HAT', 'BIRCH']","['SHARK', 'SKIRT', 'TIE', 'SWING', 'COD', 'POPLAR', 'CARP', 'WILLOW', 'HERRING', 'BEECH', 'JEANS', 'SALSA', 'BALLROOM', 'WALTZ', 'HAT', 'BIRCH']",4.0,False,"[11931, 4335, 8568, 4088, 4960, 7617]",,,categorized_16_1,BALLROOM,3000.0,,
7,text-recall,,text-recall,48.0,2136858.0,0.0-39.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['HILL', 'VOLCANO', 'ISLAND', 'PARROT', 'FOUNDATION', 'ISLAND', 'PORCH', 'VULTURE', 'CEILING', 'ELK', 'ROOF']","['HILL', 'VOLCANO', 'ISLAND', 'PARROT', 'FOUNDATION', 'PORCH', 'VULTURE', 'CEILING', 'ELK', 'ROOF']","['DOVE', 'SPARROW', 'DONKEY', 'LAKE', 'COW', 'SQUIRREL']","['DOVE', 'SPARROW', 'DONKEY', 'LAKE', 'COW', 'SQUIRREL', 'ROOF', 'FOUNDATION', 'PARROT', 'PORCH', 'ISLAND', 'VOLCANO', 'VULTURE', 'HILL', 'CEILING', 'ELK']",10.0,False,"[10156, 6712, 6216, 6417, 7295, 11191, 6473, 7208, 5751, 3848, 10062]",True,90000.0,categorized_16_11,,,,
8,reminder-none,,reminder,49.0,2137883.0,0.0-40.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['DOVE', 'SPARROW', 'DONKEY', 'LAKE', 'COW', 'SQUIRREL', 'ROOF', 'FOUNDATION', 'PARROT', 'PORCH', 'ISLAND', 'VOLCANO', 'VULTURE', 'HILL', 'CEILING', 'ELK']",0.0,False,[],,,categorized_16_11,,0.0,,
9,text-recall,,text-recall,52.0,2529535.0,0.0-43.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['ENTRANCE', 'ANTELOPE', 'WOLF', 'BEAR', 'RABBIT', 'ATTIC', 'FALCON', 'PIGEON', 'BATTLESHIP', 'STEAMBOAT']","['ENTRANCE', 'ANTELOPE', 'WOLF', 'BEAR', 'RABBIT', 'ATTIC', 'FALCON', 'PIGEON', 'BATTLESHIP', 'STEAMBOAT']","['KITCHEN', 'FERRY', 'PEACOCK', 'BATHROOM', 'YACHT', 'PENGUIN']","['ENTRANCE', 'ANTELOPE', 'WOLF', 'BEAR', 'RABBIT', 'ATTIC', 'FALCON', 'PIGEON', 'BATTLESHIP', 'STEAMBOAT', 'KITCHEN', 'FERRY', 'PEACOCK', 'BATHROOM', 'YACHT', 'PENGUIN']",10.0,False,"[14673, 8272, 5720, 5145, 6383, 6705, 7600, 7064, 9488, 14086]",True,90000.0,categorized_16_9,,,,
