,type,responses,trial_type,trial_index,time_elapsed,internal_node_id,mode,subject_cond,exp,uniqueid,success,recalled_list,matching_list,missing_list,shown_list,num_correct,instructions,times,correct_sizes,used_time,list_type,reminder,id,total_points
0,survey-text,"{""Q0"":""5f96ecaca0ed8c01b13dd7c4""}",survey-text,0.0,17265.0,0.0-0.0,pilot,0,expAv3,debuguiW6X:debugITEf6,,,,,,,,,,,,,,
1,survey-text,"{""Q0"":""615211c71871ab62cb14cbe1""}",survey-text,0.0,5610.0,0.0-0.0,pilot,1,expAv3,debuglNYgT:debug91U3D,,,,,,,,,,,,,,
2,survey-text,"{""Q0"":""615033332cea99204ba90a95""}",survey-text,0.0,9406.0,0.0-0.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,,,,,,,,,,,,,,
3,text-recall,,text-recall,25.0,567325.0,0.0-27.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['CHICKEN', 'VULTURE', 'PARROT', 'CLOUD', 'RAIN', 'TROUSERS', 'JACKET', 'SKIRT', 'SUIT', 'SUNSHINE', 'RAIN']","['CHICKEN', 'VULTURE', 'PARROT', 'CLOUDS', 'RAIN', 'TROUSERS', 'JACKET', 'SKIRT', 'SUIT', 'SUNSHINE']","['ELEPHANT', 'SNOW', 'SQUIRREL', 'FOX', 'HAWK', 'TURTLE']","['SUNSHINE', 'ELEPHANT', 'VULTURE', 'SUIT', 'RAIN', 'SNOW', 'SQUIRREL', 'PARROT', 'TROUSERS', 'FOX', 'HAWK', 'CLOUDS', 'TURTLE', 'SKIRT', 'JACKET', 'CHICKEN']",10.0,False,"[5244, 5521, 7112, 2336, 1016, 1783, 1441, 1127, 13354, 5489, 1423]",True,49924.0,categorized_16_9,,,
4,reminder,,reminder,26.0,611489.0,0.0-28.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['ELEPHANT', 'VULTURE', 'PARROT', 'CHICKEN', 'FOX', 'HAWK']","['FOX', 'HAWK']","['SNOW', 'SQUIRREL', 'TURTLE']","['SUNSHINE', 'ELEPHANT', 'VULTURE', 'SUIT', 'RAIN', 'SNOW', 'SQUIRREL', 'PARROT', 'TROUSERS', 'FOX', 'HAWK', 'CLOUDS', 'TURTLE', 'SKIRT', 'JACKET', 'CHICKEN']",2.0,False,"[2665, 2329, 1440, 1568, 3680, 1344]",,,categorized_16_9,ELEPHANT,,
5,text-recall,,text-recall,29.0,743922.0,0.0-31.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['SLIP', 'EARTHQUAKE', 'CLIFF', 'CAVE', 'SHORTS', 'SLIP', 'CAVE', 'HARP', 'HAIL']","['SLIP', 'EARTHQUAKE', 'CLIFF', 'CAVE', 'SHORTS', 'HARP', 'HAIL']","['CLARINET', 'KEYBOARD', 'BOXERS', 'TIE', 'PLATEAU', 'GORGE', 'BANJO', 'WIND', 'BLIZZARD']","['CLARINET', 'KEYBOARD', 'BOXERS', 'TIE', 'HAIL', 'CAVE', 'PLATEAU', 'GORGE', 'BANJO', 'HARP', 'CLIFF', 'EARTHQUAKE', 'WIND', 'SHORTS', 'BLIZZARD', 'SLIP']",7.0,False,"[4766, 3255, 1353, 1472, 3528, 3960, 7519, 3528, 10305]",True,61072.0,categorized_16_7,,,
6,reminder,,reminder,30.0,776849.0,0.0-32.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['WIND', 'SLIP', 'HAIL', 'CAVE']",[],"['CLARINET', 'KEYBOARD', 'BOXERS', 'TIE', 'PLATEAU', 'GORGE', 'BANJO', 'BLIZZARD']","['CLARINET', 'KEYBOARD', 'BOXERS', 'TIE', 'HAIL', 'CAVE', 'PLATEAU', 'GORGE', 'BANJO', 'HARP', 'CLIFF', 'EARTHQUAKE', 'WIND', 'SHORTS', 'BLIZZARD', 'SLIP']",0.0,False,"[4294, 1136, 1727, 8097]",,,categorized_16_7,WIND,,
7,text-recall,,text-recall,33.0,865329.0,0.0-35.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['HOSE', 'KITE', 'SQUIRREL', 'BALL', 'HOSE', 'BOX']","['HOSE', 'KITE', 'BALL']","['CRANE', 'DIGEST', 'NINTENDO', 'BUCKET', 'SOIL', 'SWAN', 'SEEDS', 'EDITORIAL', 'MANUSCRIPT', 'SPARROW', 'PUZZLE', 'FALCON', 'LETTER']","['CRANE', 'DIGEST', 'NINTENDO', 'BUCKET', 'SOIL', 'SWAN', 'SEEDS', 'EDITORIAL', 'MANUSCRIPT', 'SPARROW', 'KITE', 'PUZZLE', 'BALL', 'FALCON', 'LETTER', 'HOSE']",3.0,False,"[2550, 976, 2576, 2040, 1720, 6240]",False,25325.0,categorized_16_2,,,
8,reminder,,reminder,34.0,936038.0,0.0-36.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['SOIL', 'NINTENDO']",['SOIL'],"['CRANE', 'DIGEST', 'NINTENDO', 'BUCKET', 'SWAN', 'EDITORIAL', 'MANUSCRIPT', 'SPARROW', 'PUZZLE', 'FALCON', 'LETTER']","['CRANE', 'DIGEST', 'NINTENDO', 'BUCKET', 'SOIL', 'SWAN', 'SEEDS', 'EDITORIAL', 'MANUSCRIPT', 'SPARROW', 'KITE', 'PUZZLE', 'BALL', 'FALCON', 'LETTER', 'HOSE']",1.0,False,"[10400, 8000]",,,categorized_16_2,SEEDS,,
9,text-recall,,text-recall,37.0,1036181.0,0.0-39.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['CLOSET', 'ROOM', 'KITCHEN', 'TRACK', 'SWIMMING', 'GYMNASTICS', 'BELT', 'CYCLING', 'FROST', 'LIGHTNING']","['CLOSET', 'ROOM', 'KITCHEN', 'TRACK', 'SWIMMING', 'GYMNASTICS', 'BELT', 'FROST', 'LIGHTNING']","['BOWLING', 'COAT', 'ROBE', 'GALE', 'FOG', 'ELEVATOR', 'DRESS']","['SWIMMING', 'BOWLING', 'COAT', 'ROBE', 'GALE', 'KITCHEN', 'GYMNASTICS', 'TRACK', 'LIGHTNING', 'FOG', 'BELT', 'ELEVATOR', 'DRESS', 'FROST', 'ROOM', 'CLOSET']",9.0,False,"[4165, 1073, 1848, 1168, 1408, 2864, 3137, 6406, 5225, 6240]",True,36213.0,categorized_16_8,,,
10,reminder,,reminder,38.0,1094108.0,0.0-40.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,['FOG'],[],"['BOWLING', 'COAT', 'ROBE', 'GALE', 'ELEVATOR', 'DRESS']","['SWIMMING', 'BOWLING', 'COAT', 'ROBE', 'GALE', 'KITCHEN', 'GYMNASTICS', 'TRACK', 'LIGHTNING', 'FOG', 'BELT', 'ELEVATOR', 'DRESS', 'FROST', 'ROOM', 'CLOSET']",0.0,False,[2465],,,categorized_16_8,FOG,,
11,text-recall,,text-recall,41.0,1186718.0,0.0-43.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['COTTAGE', 'HOTEL', 'MANSION', 'WALLS', 'ENTRANCE', 'BASEMENT', 'ATTIC', 'MANGO', 'PLUM', 'LIME', 'GRAPE', 'PLUM', 'DORMITORY']","['COTTAGE', 'HOTEL', 'MANSION', 'WALLS', 'ENTRANCE', 'BASEMENT', 'ATTIC', 'MANGO', 'PLUM', 'LIME', 'GRAPE', 'DORMITORY']","['CAMEL', 'ELK', 'RAT', 'RABBIT']","['GRAPE', 'LIME', 'MANSION', 'PLUM', 'DORMITORY', 'CAMEL', 'ENTRANCE', 'WALLS', 'ELK', 'MANGO', 'RAT', 'RABBIT', 'ATTIC', 'BASEMENT', 'COTTAGE', 'HOTEL']",12.0,False,"[3302, 1329, 2289, 1047, 3792, 1623, 913, 1112, 2552, 1384, 1968, 9624, 5512]",True,38182.0,categorized_16_4,,,
12,reminder,,reminder,42.0,1242580.0,0.0-44.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,['RAT'],[],"['CAMEL', 'ELK', 'RABBIT']","['GRAPE', 'LIME', 'MANSION', 'PLUM', 'DORMITORY', 'CAMEL', 'ENTRANCE', 'WALLS', 'ELK', 'MANGO', 'RAT', 'RABBIT', 'ATTIC', 'BASEMENT', 'COTTAGE', 'HOTEL']",0.0,False,[3545],,,categorized_16_4,RAT,,
