debuguiW6X:debugITEf6,0,1.64E+12,"{""type"": ""survey-text"", ""responses"": ""{\""Q0\"":\""5f96ecaca0ed8c01b13dd7c4\""}"", ""trial_type"": ""survey-text"", ""trial_index"": 0, ""time_elapsed"": 17265, ""internal_node_id"": ""0.0-0.0"", ""mode"": ""pilot"", ""subject_cond"": ""0"", ""exp"": ""expAv3""}"
debuglNYgT:debug91U3D,0,1.64E+12,"{""type"": ""survey-text"", ""responses"": ""{\""Q0\"":\""615211c71871ab62cb14cbe1\""}"", ""trial_type"": ""survey-text"", ""trial_index"": 0, ""time_elapsed"": 5610, ""internal_node_id"": ""0.0-0.0"", ""mode"": ""pilot"", ""subject_cond"": ""1"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,0,1.64E+12,"{""type"": ""survey-text"", ""responses"": ""{\""Q0\"":\""615033332cea99204ba90a95\""}"", ""trial_type"": ""survey-text"", ""trial_index"": 0, ""time_elapsed"": 9406, ""internal_node_id"": ""0.0-0.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,1,1.64E+12,"{""type"": ""text-recall"", ""success"": false, ""recalled_list"": [""CHICKEN"", ""VULTURE"", ""PARROT"", ""CLOUD"", ""RAIN"", ""TROUSERS"", ""JACKET"", ""SKIRT"", ""SUIT"", ""SUNSHINE"", ""RAIN""], ""matching_list"": [""CHICKEN"", ""VULTURE"", ""PARROT"", ""CLOUDS"", ""RAIN"", ""TROUSERS"", ""JACKET"", ""SKIRT"", ""SUIT"", ""SUNSHINE""], ""missing_list"": [""ELEPHANT"", ""SNOW"", ""SQUIRREL"", ""FOX"", ""HAWK"", ""TURTLE""], ""shown_list"": [""SUNSHINE"", ""ELEPHANT"", ""VULTURE"", ""SUIT"", ""RAIN"", ""SNOW"", ""SQUIRREL"", ""PARROT"", ""TROUSERS"", ""FOX"", ""HAWK"", ""CLOUDS"", ""TURTLE"", ""SKIRT"", ""JACKET"", ""CHICKEN""], ""num_correct"": 10, ""instructions"": false, ""times"": [5244, 5521, 7112, 2336, 1016, 1783, 1441, 1127, 13354, 5489, 1423], ""correct_sizes"": true, ""used_time"": 49924, ""list_type"": ""categorized_16_9"", ""trial_type"": ""text-recall"", ""trial_index"": 25, ""time_elapsed"": 567325, ""internal_node_id"": ""0.0-27.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,2,1.64E+12,"{""type"": ""reminder"", ""success"": false, ""recalled_list"": [""ELEPHANT"", ""VULTURE"", ""PARROT"", ""CHICKEN"", ""FOX"", ""HAWK""], ""matching_list"": [""FOX"", ""HAWK""], ""missing_list"": [""SNOW"", ""SQUIRREL"", ""TURTLE""], ""shown_list"": [""SUNSHINE"", ""ELEPHANT"", ""VULTURE"", ""SUIT"", ""RAIN"", ""SNOW"", ""SQUIRREL"", ""PARROT"", ""TROUSERS"", ""FOX"", ""HAWK"", ""CLOUDS"", ""TURTLE"", ""SKIRT"", ""JACKET"", ""CHICKEN""], ""num_correct"": 2, ""instructions"": false, ""times"": [2665, 2329, 1440, 1568, 3680, 1344], ""reminder"": ""ELEPHANT"", ""list_type"": ""categorized_16_9"", ""trial_type"": ""reminder"", ""trial_index"": 26, ""time_elapsed"": 611489, ""internal_node_id"": ""0.0-28.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,3,1.64E+12,"{""type"": ""text-recall"", ""success"": false, ""recalled_list"": [""SLIP"", ""EARTHQUAKE"", ""CLIFF"", ""CAVE"", ""SHORTS"", ""SLIP"", ""CAVE"", ""HARP"", ""HAIL""], ""matching_list"": [""SLIP"", ""EARTHQUAKE"", ""CLIFF"", ""CAVE"", ""SHORTS"", ""HARP"", ""HAIL""], ""missing_list"": [""CLARINET"", ""KEYBOARD"", ""BOXERS"", ""TIE"", ""PLATEAU"", ""GORGE"", ""BANJO"", ""WIND"", ""BLIZZARD""], ""shown_list"": [""CLARINET"", ""KEYBOARD"", ""BOXERS"", ""TIE"", ""HAIL"", ""CAVE"", ""PLATEAU"", ""GORGE"", ""BANJO"", ""HARP"", ""CLIFF"", ""EARTHQUAKE"", ""WIND"", ""SHORTS"", ""BLIZZARD"", ""SLIP""], ""num_correct"": 7, ""instructions"": false, ""times"": [4766, 3255, 1353, 1472, 3528, 3960, 7519, 3528, 10305], ""correct_sizes"": true, ""used_time"": 61072, ""list_type"": ""categorized_16_7"", ""trial_type"": ""text-recall"", ""trial_index"": 29, ""time_elapsed"": 743922, ""internal_node_id"": ""0.0-31.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,4,1.64E+12,"{""type"": ""reminder"", ""success"": false, ""recalled_list"": [""WIND"", ""SLIP"", ""HAIL"", ""CAVE""], ""matching_list"": [], ""missing_list"": [""CLARINET"", ""KEYBOARD"", ""BOXERS"", ""TIE"", ""PLATEAU"", ""GORGE"", ""BANJO"", ""BLIZZARD""], ""shown_list"": [""CLARINET"", ""KEYBOARD"", ""BOXERS"", ""TIE"", ""HAIL"", ""CAVE"", ""PLATEAU"", ""GORGE"", ""BANJO"", ""HARP"", ""CLIFF"", ""EARTHQUAKE"", ""WIND"", ""SHORTS"", ""BLIZZARD"", ""SLIP""], ""num_correct"": 0, ""instructions"": false, ""times"": [4294, 1136, 1727, 8097], ""reminder"": ""WIND"", ""list_type"": ""categorized_16_7"", ""trial_type"": ""reminder"", ""trial_index"": 30, ""time_elapsed"": 776849, ""internal_node_id"": ""0.0-32.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,5,1.64E+12,"{""type"": ""text-recall"", ""success"": false, ""recalled_list"": [""HOSE"", ""KITE"", ""SQUIRREL"", ""BALL"", ""HOSE"", ""BOX""], ""matching_list"": [""HOSE"", ""KITE"", ""BALL""], ""missing_list"": [""CRANE"", ""DIGEST"", ""NINTENDO"", ""BUCKET"", ""SOIL"", ""SWAN"", ""SEEDS"", ""EDITORIAL"", ""MANUSCRIPT"", ""SPARROW"", ""PUZZLE"", ""FALCON"", ""LETTER""], ""shown_list"": [""CRANE"", ""DIGEST"", ""NINTENDO"", ""BUCKET"", ""SOIL"", ""SWAN"", ""SEEDS"", ""EDITORIAL"", ""MANUSCRIPT"", ""SPARROW"", ""KITE"", ""PUZZLE"", ""BALL"", ""FALCON"", ""LETTER"", ""HOSE""], ""num_correct"": 3, ""instructions"": false, ""times"": [2550, 976, 2576, 2040, 1720, 6240], ""correct_sizes"": false, ""used_time"": 25325, ""list_type"": ""categorized_16_2"", ""trial_type"": ""text-recall"", ""trial_index"": 33, ""time_elapsed"": 865329, ""internal_node_id"": ""0.0-35.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,6,1.64E+12,"{""type"": ""reminder"", ""success"": false, ""recalled_list"": [""SOIL"", ""NINTENDO""], ""matching_list"": [""SOIL""], ""missing_list"": [""CRANE"", ""DIGEST"", ""NINTENDO"", ""BUCKET"", ""SWAN"", ""EDITORIAL"", ""MANUSCRIPT"", ""SPARROW"", ""PUZZLE"", ""FALCON"", ""LETTER""], ""shown_list"": [""CRANE"", ""DIGEST"", ""NINTENDO"", ""BUCKET"", ""SOIL"", ""SWAN"", ""SEEDS"", ""EDITORIAL"", ""MANUSCRIPT"", ""SPARROW"", ""KITE"", ""PUZZLE"", ""BALL"", ""FALCON"", ""LETTER"", ""HOSE""], ""num_correct"": 1, ""instructions"": false, ""times"": [10400, 8000], ""reminder"": ""SEEDS"", ""list_type"": ""categorized_16_2"", ""trial_type"": ""reminder"", ""trial_index"": 34, ""time_elapsed"": 936038, ""internal_node_id"": ""0.0-36.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,7,1.64E+12,"{""type"": ""text-recall"", ""success"": false, ""recalled_list"": [""CLOSET"", ""ROOM"", ""KITCHEN"", ""TRACK"", ""SWIMMING"", ""GYMNASTICS"", ""BELT"", ""CYCLING"", ""FROST"", ""LIGHTNING""], ""matching_list"": [""CLOSET"", ""ROOM"", ""KITCHEN"", ""TRACK"", ""SWIMMING"", ""GYMNASTICS"", ""BELT"", ""FROST"", ""LIGHTNING""], ""missing_list"": [""BOWLING"", ""COAT"", ""ROBE"", ""GALE"", ""FOG"", ""ELEVATOR"", ""DRESS""], ""shown_list"": [""SWIMMING"", ""BOWLING"", ""COAT"", ""ROBE"", ""GALE"", ""KITCHEN"", ""GYMNASTICS"", ""TRACK"", ""LIGHTNING"", ""FOG"", ""BELT"", ""ELEVATOR"", ""DRESS"", ""FROST"", ""ROOM"", ""CLOSET""], ""num_correct"": 9, ""instructions"": false, ""times"": [4165, 1073, 1848, 1168, 1408, 2864, 3137, 6406, 5225, 6240], ""correct_sizes"": true, ""used_time"": 36213, ""list_type"": ""categorized_16_8"", ""trial_type"": ""text-recall"", ""trial_index"": 37, ""time_elapsed"": 1036181, ""internal_node_id"": ""0.0-39.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
debugjHiAt:debugtsSZL,8,1.64E+12,"{""type"": ""reminder"", ""success"": false, ""recalled_list"": [""FOG""], ""matching_list"": [], ""missing_list"": [""BOWLING"", ""COAT"", ""ROBE"", ""GALE"", ""ELEVATOR"", ""DRESS""], ""shown_list"": [""SWIMMING"", ""BOWLING"", ""COAT"", ""ROBE"", ""GALE"", ""KITCHEN"", ""GYMNASTICS"", ""TRACK"", ""LIGHTNING"", ""FOG"", ""BELT"", ""ELEVATOR"", ""DRESS"", ""FROST"", ""ROOM"", ""CLOSET""], ""num_correct"": 0, ""instructions"": false, ""times"": [2465], ""reminder"": ""FOG"", ""list_type"": ""categorized_16_8"", ""trial_type"": ""reminder"", ""trial_index"": 38, ""time_elapsed"": 1094108, ""internal_node_id"": ""0.0-40.0"", ""mode"": ""pilot"", ""subject_cond"": ""4"", ""exp"": ""expAv3""}"
